year,quarter,region,sector,enterprise_size,number_of_enterprises,number_of_saudi_employees,number_of_saudi_employees (male),number_of_saudi_employees (female),number_of_foreign_employees,number_of_foreign_employees (male),number_of_foreign_employees (female)
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,50,276,132,144,462,451,11
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,273,258,15,334,333,1
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,128,96,47,49,198,194,4
2022,1,Eastern Province,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,7,184,119,65,392,390,2
2022,1,Al Bahah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,2,0,0,0,6,6,0
2022,1,Al Jawf Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,3,13,12,1,35,34,1
2022,1,Al Jawf Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,7,3,0,3,14,14,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,1,2,2,0,8,8,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,116,113,3,537,537,0
2022,1,Northern Borders Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,8,2,1,1,11,11,0
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,102,489,233,256,1026,1014,12
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,4,609,454,155,917,890,27
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,278,184,87,97,459,445,14
2022,1,Riyadh Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,16,557,331,226,1127,1121,6
2022,1,Qassim Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,18,41,14,27,147,146,1
2022,1,Qassim Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,65,19,9,10,157,156,1
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,21,76,40,36,253,243,10
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,101,64,41,23,154,153,1
2022,1,Al Madinah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,1,8,4,4,47,46,1
2022,1,Tabuk Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,5,22,13,9,35,35,0
2022,1,Tabuk Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,24,11,7,4,45,44,1
2022,1,Jazan Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,1,6,3,3,8,8,0
2022,1,Jazan Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,21,14,7,7,31,31,0
2022,1,Hail Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,6,24,6,18,69,69,0
2022,1,Hail Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,16,11,7,4,28,28,0
2022,1,Aseer Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,5,20,9,11,41,41,0
2022,1,Aseer Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,33,23,16,7,43,43,0
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,184,667,416,251,1558,1534,24
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",large,1,3141,2862,279,790,790,0
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,496,352,214,138,814,793,21
2022,1,Makkah Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",medium,17,790,518,272,1036,1029,7
2022,1,Najran Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",small,3,8,2,6,31,31,0
2022,1,Najran Region,"Travel Agencies, Tour Operators, Reservation Services, and Related Activities",micro,8,8,5,3,18,18,0
2022,1,Eastern Province,Fishing and Aquaculture,small,131,141,57,84,1395,1393,2
2022,1,Eastern Province,Fishing and Aquaculture,micro,275,52,33,19,686,686,0
2022,1,Eastern Province,Fishing and Aquaculture,medium,1,7,3,4,57,57,0
2022,1,Al Bahah Region,Fishing and Aquaculture,small,1,1,1,0,5,5,0
2022,1,Al Bahah Region,Fishing and Aquaculture,micro,12,0,0,0,22,22,0
2022,1,Al Jawf Region,Fishing and Aquaculture,micro,39,3,1,2,55,55,0
2022,1,Northern Borders Region,Fishing and Aquaculture,micro,11,1,1,0,23,23,0
2022,1,Riyadh Region,Fishing and Aquaculture,small,17,28,17,11,135,135,0
2022,1,Riyadh Region,Fishing and Aquaculture,micro,4309,524,260,264,7828,7775,53
2022,1,Qassim Region,Fishing and Aquaculture,small,2,7,0,7,15,15,0
2022,1,Qassim Region,Fishing and Aquaculture,micro,97,15,10,5,192,192,0
2022,1,Al Madinah Region,Fishing and Aquaculture,small,10,4,0,4,81,81,0
2022,1,Al Madinah Region,Fishing and Aquaculture,micro,100,5,2,3,190,185,5
2022,1,Tabuk Region,Fishing and Aquaculture,small,3,4,2,2,31,31,0
2022,1,Tabuk Region,Fishing and Aquaculture,micro,41,4,2,2,61,60,1
2022,1,Jazan Region,Fishing and Aquaculture,small,52,136,96,40,601,600,1
2022,1,Jazan Region,Fishing and Aquaculture,large,1,78,72,6,233,233,0
2022,1,Jazan Region,Fishing and Aquaculture,micro,142,19,10,9,311,311,0
2022,1,Jazan Region,Fishing and Aquaculture,medium,1,30,11,19,196,196,0
2022,1,Hail Region,Fishing and Aquaculture,small,2,3,2,1,10,10,0
2022,1,Hail Region,Fishing and Aquaculture,micro,168,20,12,8,339,337,2
2022,1,Aseer Region,Fishing and Aquaculture,small,7,3,2,1,59,59,0
2022,1,Aseer Region,Fishing and Aquaculture,micro,121,11,3,8,247,247,0
2022,1,Makkah Region,Fishing and Aquaculture,small,35,35,18,17,395,393,2
2022,1,Makkah Region,Fishing and Aquaculture,large,1,605,511,94,2476,2471,5
2022,1,Makkah Region,Fishing and Aquaculture,micro,530,60,27,33,962,920,42
2022,1,Makkah Region,Fishing and Aquaculture,medium,1,1,1,0,67,67,0
2022,1,Najran Region,Fishing and Aquaculture,small,1,0,0,0,8,8,0
2022,1,Najran Region,Fishing and Aquaculture,micro,176,18,5,13,311,310,1
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,567,1763,1101,662,6818,6810,8
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),large,20,6818,6540,278,7312,7304,8
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),micro,1273,420,237,183,2586,2582,4
2022,1,Eastern Province,Manufacture of Shaped Metal Products (Except Machinery and Equipment),medium,94,2486,1956,530,7567,7560,7
2022,1,Al Bahah Region,Manufacture of Shaped Metal Products (Except Machinery and Equipment),small,22,20,14,6,202,202,0
